ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1727271	2.26e-14	1.51e-18	13.109862	31.818293	1.5313363	47419915	WARS	tryptophanyl-tRNA synthetase
ILMN_2337655	2.25e-13	4.26e-17	12.08379	28.597445	1.4286979	47419913	WARS	tryptophanyl-tRNA synthetase
ILMN_2114568	2.25e-13	4.72e-17	12.053457	28.505161	2.1728458	197333735	GBP5	guanylate binding protein 5
ILMN_2261600	2.25e-13	6.00e-17	11.981039	28.248691	2.6839652	349732137	FCGR1B	Fc fragment of IgG receptor Ib
ILMN_2176063	6.41e-13	2.13e-16	11.603668	27.005086	2.9127567	167621452	FCGR1A	Fc fragment of IgG receptor Ia
ILMN_2391051	1.00e-12	4.34e-16	11.394817	26.283965	2.7973316	349732138	FCGR1B	Fc fragment of IgG receptor Ib
ILMN_1690241	1.00e-12	4.67e-16	11.373253	25.801345	3.0578639	45238853	BATF2	basic leucine zipper ATF-like transcription factor 2
ILMN_1654389	1.29e-12	6.87e-16	11.260239	25.424289	3.0425934	NA		
ILMN_1713058	4.79e-12	2.87e-15	10.846141	24.487575	1.4980574	165905600	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2
ILMN_1690105	8.88e-12	5.92e-15	10.639288	23.791447	1.3740895	189458859	STAT1	signal transducer and activator of transcription 1
ILMN_1809467	1.01e-11	7.41e-15	10.574979	23.570084	1.3951913	31543930	VAMP5	vesicle associated membrane protein 5
ILMN_1670305	1.86e-11	1.49e-14	10.377011	22.547976	3.3788247	73858569	SERPING1	serpin family G member 1
ILMN_1774077	4.04e-11	3.50e-14	10.136275	22.067013	0.9717388	520975408	GBP2	guanylate binding protein 2
ILMN_1769520	4.30e-11	4.01e-14	10.098316	21.933317	1.0887133	332078505	UBE2L6	ubiquitin conjugating enzyme E2 L6
ILMN_1690939	5.31e-11	5.44e-14	10.012435	21.518716	1.190739	384229046	TYMP	thymidine phosphorylase
ILMN_2148785	5.45e-11	6.17e-14	9.977633	21.505246	1.9343294	166706902	GBP1	guanylate binding protein 1
ILMN_1851599	5.31e-11	5.66e-14	10.001507	21.459326	2.8698469	27878199		
ILMN_2167426	6.72e-11	8.05e-14	9.903335	21.161455	1.1570517	194328778	ASPHD2	aspartate beta-hydroxylase domain containing 2
ILMN_2328776	7.74e-11	9.79e-14	-9.8488	21.048511	-0.6280108	109633027	STK26	serine/threonine protein kinase 26
ILMN_1798270	1.00e-10	1.33e-13	9.763108	20.74232	1.0702232	169234727	SMCO4	single-pass membrane protein with coiled-coil domains 4
ILMN_1782487	1.16e-10	1.63e-13	9.706969	20.512236	2.2673605	166091468	GBP1P1	guanylate binding protein 1 pseudogene 1
ILMN_1799848	1.16e-10	1.70e-13	9.695634	20.420021	3.5909771	154091031	ANKRD22	ankyrin repeat domain 22
ILMN_1703108	1.51e-10	2.31e-13	9.610503	20.212936	1.2004942	332078505	UBE2L6	ubiquitin conjugating enzyme E2 L6
ILMN_1707077	1.52e-10	2.43e-13	9.596504	20.154123	0.9947982	942429602	SORT1	sortilin 1
ILMN_1845037	1.52e-10	2.53e-13	9.58573	20.11767	0.9479366	22658346	LOC100419583	ring finger protein 4 pseudogene
ILMN_1654685	1.55e-10	2.69e-13	9.568931	20.062079	1.1384413	663071072	MCTP1	multiple C2 and transmembrane domain containing 1
ILMN_1756999	1.62e-10	2.91e-13	-9.546754	19.988925	-0.5902437	172072596	RBL2	RB transcriptional corepressor like 2
ILMN_1691364	1.62e-10	3.10e-13	9.529319	19.925743	1.1104113	189458858	STAT1	signal transducer and activator of transcription 1
ILMN_1701114	1.62e-10	3.14e-13	9.526402	19.916293	1.8889418	166706902	GBP1	guanylate binding protein 1
ILMN_1681301	1.94e-10	4.00e-13	9.459388	19.678879	1.8899512	4757733	AIM2	absent in melanoma 2
ILMN_1786426	1.94e-10	4.00e-13	9.459217	19.678412	0.7780267	142378920	IGFLR1	IGF like family receptor 1
ILMN_2370825	2.03e-10	4.32e-13	-9.438483	19.604769	-0.7976812	71902539	ATM	ATM serine/threonine kinase
ILMN_1708728	2.33e-10	5.11e-13	9.392007	19.439201	1.0897953	574957222	H2AFJ	H2A histone family member J
ILMN_1771385	3.21e-10	7.27e-13	9.295262	19.094603	1.3088037	197333738	GBP4	guanylate binding protein 4
ILMN_1779214	3.82e-10	8.91e-13	-9.239802	18.896628	-0.8792393	71902539	ATM	ATM serine/threonine kinase
ILMN_1747744	3.98e-10	9.53e-13	9.221408	18.817913	1.4028515	108773776	LHFPL2	lipoma HMGIC fusion partner-like 2
ILMN_1776157	4.22e-10	1.04e-12	9.197804	18.685343	2.2911901	542133092	SEPT4	septin 4
ILMN_1672807	5.92e-10	1.54e-12	-9.090457	18.346862	-1.0556595	95147552	CA5B	carbonic anhydrase 5B
ILMN_1710434	5.92e-10	1.58e-12	-9.084164	18.339245	-0.7469474	374671769	TBC1D10C	TBC1 domain family member 10C
ILMN_1652989	6.30e-10	1.72e-12	-9.060515	18.253652	-0.7388266	971825874	NUP160	nucleoporin 160
ILMN_1679929	7.06e-10	1.97e-12	-9.022677	18.118298	-0.5661106	698320876	KLF13	Kruppel like factor 13
ILMN_1792497	7.41e-10	2.12e-12	9.003372	18.044288	0.7748433	206597503	AGFG1	ArfGAP with FG repeats 1
ILMN_1860051	5.31e-10	1.34e-12	9.127782	17.964567	2.3997009	1621766		
ILMN_1683792	8.55e-10	2.50e-12	8.95805	17.886353	1.5518119	41393560	LAP3	leucine aminopeptidase 3
ILMN_1775542	9.54e-10	2.86e-12	-8.922192	17.756558	-1.2450144	216547545	FCMR	Fc fragment of IgM receptor
ILMN_1797522	9.86e-10	3.02e-12	8.907337	17.70325	1.0762679	167466211	DUSP3	dual specificity phosphatase 3
ILMN_1740160	1.08e-09	3.46e-12	-8.870456	17.546243	-1.0531361	33598945	PLCG1	phospholipase C gamma 1
ILMN_2106818	1.08e-09	3.39e-12	-8.876197	17.520737	-0.907084	222080052	MBIP	MAP3K12 binding inhibitory protein 1
ILMN_1777325	1.16e-09	3.79e-12	8.84584	17.476001	0.8297609	189458859	STAT1	signal transducer and activator of transcription 1
ILMN_1655137	1.20e-09	3.98e-12	-8.832496	17.433707	-0.6584808	NA		
ILMN_1665943	1.27e-09	4.30e-12	-8.811734	17.359311	-0.9451949	558472802	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
ILMN_1722981	1.59e-09	5.50e-12	8.745104	17.119161	1.3740668	281427130	TLR5	toll like receptor 5
ILMN_1701455	1.75e-09	6.29e-12	8.708574	16.988246	1.253459	209915567	FBXO6	F-box protein 6
ILMN_1774733	1.75e-09	6.31e-12	8.707942	16.857295	1.9153996	4507232	SOCS1	suppressor of cytokine signaling 1
ILMN_1664016	2.17e-09	7.94e-12	-8.64596	16.757938	-0.6265908	195972854	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18
ILMN_1701621	2.26e-09	8.42e-12	8.630021	16.700663	1.2609143	153791312	SCO2	SCO2 cytochrome c oxidase assembly protein
ILMN_1798256	2.30e-09	8.71e-12	8.620713	16.666488	0.670573	565891691	UPP1	uridine phosphorylase 1
ILMN_1653180	2.92e-09	1.14e-11	8.54921	16.412446	0.8212766	223555973	TPM4	tropomyosin 4
ILMN_1691717	2.92e-09	1.15e-11	8.547106	16.399328	0.8726029	306035189	RHBDF2	rhomboid 5 homolog 2
ILMN_1756953	2.93e-09	1.17e-11	8.541617	16.122452	3.3254632	157671914	GBP6	guanylate binding protein family member 6
ILMN_1745374	4.95e-09	2.01e-11	8.395564	15.848003	1.1254129	306922357	IFI35	interferon induced protein 35
ILMN_2373062	5.71e-09	2.36e-11	8.352551	15.6909	0.839757	306035188	RHBDF2	rhomboid 5 homolog 2
ILMN_1740441	5.71e-09	2.39e-11	8.348875	15.686928	0.8536668	284448549	CYB5R3	cytochrome b5 reductase 3
ILMN_2204876	6.81e-09	2.90e-11	8.297513	15.50069	1.2341722	190341090	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2
ILMN_1662839	7.09e-09	3.07e-11	-8.282433	15.439936	-0.9475427	307344638	PLEKHA1	pleckstrin homology domain containing A1
ILMN_2309180	7.67e-09	3.42e-11	8.25317	15.339652	1.4002348	51477705	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
ILMN_1745242	7.52e-09	3.30e-11	8.262569	15.331369	1.5569597	176865826	PLSCR1	phospholipid scramblase 1
ILMN_1769566	7.87e-09	3.56e-11	8.242536	15.289437	0.5774239	523704483	ATG3	autophagy related 3
ILMN_1693630	8.32e-09	3.86e-11	8.221217	15.214958	1.1799776	108860689	VPS9D1	VPS9 domain containing 1
ILMN_1798706	8.32e-09	3.88e-11	-8.219716	15.209144	-1.2057707	194473709	GPR183	G protein-coupled receptor 183
ILMN_1653504	1.00e-08	4.75e-11	-8.165553	15.014899	-0.958836	187281589	S1PR1	sphingosine-1-phosphate receptor 1
ILMN_1710734	1.05e-08	5.04e-11	-8.149873	14.952504	-1.5450391	73747815	GZMK	granzyme K
ILMN_1659786	1.40e-08	6.91e-11	-8.065289	14.65677	-0.6930796	226493202	TRMT13	tRNA methyltransferase 13 homolog
ILMN_1770768	1.40e-08	6.92e-11	-8.06491	14.649302	-0.8971881	554790370	SLAMF1	signaling lymphocytic activation molecule family member 1
ILMN_1778764	1.52e-08	7.59e-11	-8.040221	14.563566	-0.7061707	211971045	BUB3	BUB3, mitotic checkpoint protein
ILMN_2390586	1.73e-08	8.75e-11	8.002246	14.413877	0.7294422	122939207	SP100	SP100 nuclear antigen
ILMN_2188722	1.75e-08	9.09e-11	-7.992095	14.39011	-0.7445559	373251162	GLS	glutaminase
ILMN_2309245	1.75e-08	9.09e-11	-7.99227	14.378281	-0.852411	346716175	BIN1	bridging integrator 1
ILMN_1722158	1.78e-08	9.37e-11	7.984174	14.358832	1.8998366	209870068	CASP5	caspase 5
ILMN_1674891	1.93e-08	1.03e-10	7.958893	14.264188	1.0813223	NA		
ILMN_2168217	2.08e-08	1.12e-10	-7.936525	14.186598	-1.1444218	194473709	GPR183	G protein-coupled receptor 183
ILMN_1708375	2.23e-08	1.22e-10	7.914032	14.062062	0.6780238	196049386	IRF1	interferon regulatory factor 1
ILMN_1655635	2.32e-08	1.29e-10	-7.897791	14.039648	-0.6337814	734703991	METTL3	methyltransferase like 3
ILMN_1789186	2.32e-08	1.30e-10	7.897562	14.031675	0.7641573	194394164	OBFC1	oligonucleotide/oligosaccharide binding fold containing 1
ILMN_2325337	2.45e-08	1.40e-10	7.876732	13.967709	1.2066072	731184214	APOL2	apolipoprotein L2
ILMN_1758250	2.44e-08	1.38e-10	7.880267	13.964739	0.8251827	219879804	TRAFD1	TRAF-type zinc finger domain containing 1
ILMN_1742124	2.52e-08	1.46e-10	-7.866091	13.932983	-0.6370515	545746371	CCSER2	coiled-coil serine rich protein 2
ILMN_1751079	2.53e-08	1.48e-10	7.861984	13.87251	0.8633186	53759115	TAP1	transporter 1, ATP binding cassette subfamily B member
ILMN_1763404	2.77e-08	1.64e-10	-7.834487	13.794147	-0.5233661	NA		
ILMN_1725700	2.91e-08	1.78e-10	7.812439	13.737302	0.9441253	554595587	MOV10	Mov10 RISC complex RNA helicase
ILMN_2405521	2.91e-08	1.76e-10	7.815386	13.732966	0.8205193	NA		
ILMN_1716678	2.91e-08	1.76e-10	7.816553	13.691308	0.5455462	29171756	NPC2	NPC intracellular cholesterol transporter 2
ILMN_1807277	2.93e-08	1.83e-10	7.805721	13.688796	0.8060189	523498473	IFI30	IFI30, lysosomal thiol reductase
ILMN_1714444	2.93e-08	1.87e-10	-7.799632	13.688784	-0.9499687	115392135	KLF12	Kruppel like factor 12
ILMN_1670609	2.93e-08	1.85e-10	7.802095	13.68314	0.6453459	72004264	ATOX1	antioxidant 1 copper chaperone
ILMN_1807423	2.97e-08	1.92e-10	7.792706	13.663531	1.1536672	30795211	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
ILMN_2367671	2.93e-08	1.86e-10	7.80138	13.630806	1.3823265	73390131	LIMK2	LIM domain kinase 2
ILMN_2393296	3.01e-08	1.96e-10	7.786876	13.623575	1.3707894	326381119	GK	glycerol kinase
ILMN_2302757	3.02e-08	2.01e-10	-7.781007	13.622317	-1.7402995	154146261	FCGBP	Fc fragment of IgG binding protein
ILMN_2079655	3.02e-08	2.01e-10	-7.781045	13.597019	-1.1628204	58761538	KLRB1	killer cell lectin like receptor B1
ILMN_2293692	3.13e-08	2.13e-10	7.765753	13.565281	0.6501462	119943103	CREBBP	CREB binding protein
ILMN_1719756	3.13e-08	2.13e-10	-7.765498	13.553427	-0.9247209	46488942	ZAP70	zeta chain of T cell receptor associated protein kinase 70
ILMN_1733110	3.24e-08	2.26e-10	-7.74979	13.49198	-0.5238617	221218992	RASSF7	Ras association domain family member 7
ILMN_1678054	3.24e-08	2.26e-10	7.749901	13.484995	0.7751224	56549143	TRIM21	tripartite motif containing 21
ILMN_1667199	3.24e-08	2.28e-10	7.746676	13.476808	0.8776118	403420578	SQRDL	sulfide quinone reductase-like (yeast)
ILMN_1742224	3.24e-08	2.28e-10	-7.747111	13.472273	-0.4932094	984880668	SLTM	SAFB like transcription modulator
ILMN_1661888	3.38e-08	2.41e-10	7.732346	13.416717	0.8326335	984290557	MEF2A	myocyte enhancer factor 2A
ILMN_1695640	3.46e-08	2.49e-10	-7.723895	13.414303	-0.8201385	815891375	PTPN22	protein tyrosine phosphatase, non-receptor type 22
ILMN_1698725	3.67e-08	2.68e-10	7.704458	13.333878	1.1061555	350276210	FRMD3	FERM domain containing 3
ILMN_2191568	3.67e-08	2.69e-10	-7.703212	13.310899	-0.4649626	50592991	NPRL2	NPR2-like, GATOR1 complex subunit
ILMN_1732269	4.05e-08	2.99e-10	7.674971	13.237216	1.1759519	563580291	GP6	glycoprotein VI platelet
ILMN_1661646	4.12e-08	3.10e-10	-7.665699	13.187453	-1.2593306	260763965	BANK1	B-cell scaffold protein with ankyrin repeats 1
ILMN_1689774	4.12e-08	3.08e-10	-7.667361	13.179111	-0.5967694	221139913	MRFAP1L1	Morf4 family associated protein 1 like 1
ILMN_1763228	4.19e-08	3.19e-10	-7.657527	13.159398	-0.6256355	410442513	MEF2D	myocyte enhancer factor 2D
ILMN_1759250	4.29e-08	3.34e-10	7.645534	13.128779	1.0084861	73747916	TAP2	transporter 2, ATP binding cassette subfamily B member
ILMN_1780368	4.34e-08	3.41e-10	-7.640259	13.099662	-0.8969535	148235348	GPR18	G protein-coupled receptor 18
ILMN_1740493	4.47e-08	3.54e-10	-7.629887	13.060301	-0.8850729	77404345	TRAF5	TNF receptor associated factor 5
ILMN_1669497	4.29e-08	3.34e-10	-7.64558	12.978063	-1.8186541	291327481	OSBPL10	oxysterol binding protein like 10
ILMN_1719286	4.86e-08	3.89e-10	7.605225	12.952367	0.9574064	952009239	CTSA	cathepsin A
ILMN_1665761	4.86e-08	3.95e-10	-7.601162	12.937081	-1.0000271	532691784	BCL11B	B-cell CLL/lymphoma 11B
ILMN_2109708	4.86e-08	3.91e-10	7.603604	12.925877	0.7331777	384229046	TYMP	thymidine phosphorylase
ILMN_1690907	5.32e-08	4.40e-10	-7.57266	12.863431	-1.2220722	150417990	CCR6	C-C motif chemokine receptor 6
ILMN_1805750	5.16e-08	4.22e-10	7.583267	12.838518	1.9058236	148612841	IFITM3	interferon induced transmembrane protein 3
ILMN_2325338	5.37e-08	4.54e-10	7.564206	12.834186	1.0228334	731184214	APOL2	apolipoprotein L2
ILMN_1671703	5.34e-08	4.48e-10	7.567654	12.826916	1.1333826	213688378	ACTA2	actin, alpha 2, smooth muscle, aorta
ILMN_1715179	5.34e-08	4.48e-10	-7.567543	12.811641	-0.6063542	1005261157	SNRPA1	small nuclear ribonucleoprotein polypeptide A'
ILMN_2264011	5.73e-08	4.89e-10	-7.544584	12.736167	-0.8972004	50659102	GRAP	GRB2-related adaptor protein
ILMN_1801109	5.94e-08	5.10e-10	-7.533044	12.720901	-0.6659099	160707983	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit
ILMN_1768973	6.06e-08	5.25e-10	7.52572	12.657877	1.1033471	27436923	HIST2H2AC	histone cluster 2, H2ac
ILMN_1701914	4.19e-08	3.21e-10	7.656509	12.655565	2.3135773	292658763	CD274	CD274 molecule
ILMN_1805271	6.23e-08	5.43e-10	-7.516462	12.634778	-0.6047149	456367251	ZNF721	zinc finger protein 721
ILMN_1767514	6.27e-08	5.57e-10	7.509654	12.625628	0.6219634	NA		
ILMN_2140974	6.27e-08	5.72e-10	7.502769	12.60751	0.8511422	223555973	TPM4	tropomyosin 4
ILMN_1756501	6.27e-08	5.57e-10	-7.509926	12.599113	-0.5966225	27765094	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
ILMN_1794594	6.27e-08	5.62e-10	-7.507415	12.590613	-0.5624133	24797102	RASGRP2	RAS guanyl releasing protein 2
ILMN_1655469	6.32e-08	5.80e-10	-7.498907	12.585206	-0.9111714	270483817	TSPAN3	tetraspanin 3
ILMN_1798728	6.27e-08	5.69e-10	-7.504091	12.577826	-0.7155324	NA		
ILMN_2388547	6.27e-08	5.67e-10	7.505103	12.571324	1.598209	388240825	EPSTI1	epithelial stromal interaction 1 (breast)
ILMN_1774930	6.63e-08	6.19e-10	-7.481707	12.533416	-0.7283968	150417993	CDC14A	cell division cycle 14A
ILMN_1801307	6.52e-08	6.04e-10	7.48845	12.516564	0.8536475	300193030	TNFSF10	tumor necrosis factor superfamily member 10
ILMN_1693830	6.65e-08	6.33e-10	7.475879	12.509711	0.9003106	568384809	LACTB	lactamase beta
ILMN_1728019	6.65e-08	6.33e-10	7.475904	12.506703	0.9947779	67089151	PML	promyelocytic leukemia
ILMN_2173975	6.67e-08	6.40e-10	7.472958	12.500956	1.385005	54607028	RTP4	receptor transporter protein 4
ILMN_2196078	6.63e-08	6.22e-10	-7.48033	12.490456	-0.8821591	296040489	SLAMF6	SLAM family member 6
ILMN_1659845	6.99e-08	6.80e-10	-7.456866	12.421107	-0.7123476	148839357	KIAA0355	KIAA0355
ILMN_1685930	7.05e-08	6.90e-10	-7.452849	12.420187	-0.7079057	89111950	DNAJC24	DnaJ heat shock protein family (Hsp40) member C24
ILMN_1805481	7.09e-08	7.04e-10	-7.447753	12.400905	-0.7414005	94420682	TRMT11	tRNA methyltransferase 11 homolog
ILMN_1801246	6.78e-08	6.55e-10	7.466904	12.391434	0.8497838	150010588	IFITM1	interferon induced transmembrane protein 1
ILMN_1702487	7.09e-08	6.99e-10	-7.449476	12.376939	-0.7694161	163644253	SGK1	serum/glucocorticoid regulated kinase 1
ILMN_1690546	7.21e-08	7.35e-10	-7.436219	12.34996	-0.7492319	345842410	PPP3CC	protein phosphatase 3 catalytic subunit gamma
ILMN_1697567	7.17e-08	7.20e-10	7.441637	12.349367	0.4989937	499137514	TPM3	tropomyosin 3
ILMN_2230862	7.17e-08	7.21e-10	7.441317	12.346784	0.8461479	296040503	GYG1	glycogenin 1
ILMN_1794677	7.18e-08	7.27e-10	-7.439228	12.344599	-0.5696647	1007385593	TMC6	transmembrane channel like 6
ILMN_2117904	7.37e-08	7.60e-10	-7.427232	12.301486	-0.5904173	197304718	ZNF22	zinc finger protein 22
ILMN_2144426	7.32e-08	7.51e-10	7.43061	12.300721	1.1539442	21328454	HIST2H2AA3	histone cluster 2, H2aa3
ILMN_1718977	7.47e-08	7.84e-10	7.418879	12.291164	0.9741318	299782594	GADD45B	growth arrest and DNA damage inducible beta
ILMN_1734878	7.43e-08	7.72e-10	-7.42319	12.285065	-1.5837089	90193588	CD79A	CD79a molecule
ILMN_1700733	7.47e-08	7.89e-10	-7.417388	12.270385	-0.6005326	557357672	FAM214A	family with sequence similarity 214 member A
ILMN_1662334	7.47e-08	7.94e-10	-7.415657	12.261834	-0.5832799	345110647	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3
ILMN_1785732	7.47e-08	7.96e-10	7.414899	12.243965	1.6277703	315139000	TNFAIP6	TNF alpha induced protein 6
ILMN_1810289	7.75e-08	8.30e-10	7.403811	12.231909	1.1255732	215422327	MYOF	myoferlin
ILMN_2092850	7.96e-08	8.70e-10	7.391535	12.203567	1.2944188	315360641	HPSE	heparanase
ILMN_2284998	7.96e-08	8.62e-10	7.393723	12.194479	0.7307538	122939207	SP100	SP100 nuclear antigen
ILMN_1658182	7.96e-08	8.69e-10	-7.391754	12.184195	-0.7089889	260436847	MEX3C	mex-3 RNA binding family member C
ILMN_1788024	8.03e-08	8.83e-10	-7.387578	12.151295	-0.693944	1002341827	PCID2	PCI domain containing 2
ILMN_1711702	8.90e-08	9.90e-10	-7.35712	12.064884	-1.014379	393250342	CLEC2D	C-type lectin domain family 2 member D
ILMN_1690806	8.90e-08	9.88e-10	-7.35778	12.054106	-0.5260188	158819030	HACD2	3-hydroxyacyl-CoA dehydratase 2
ILMN_1767894	9.23e-08	1.03e-09	7.345898	11.994814	0.6899337	345525589	POLB	DNA polymerase beta
ILMN_2376108	9.63e-08	1.09e-09	7.331447	11.942154	0.8036886	73747923	PSMB9	proteasome subunit beta 9
ILMN_1799604	9.63e-08	1.10e-09	-7.329912	11.935682	-0.428301	269914123	OCIAD1	OCIA domain containing 1
ILMN_1757467	9.81e-08	1.12e-09	7.323458	11.928344	0.9165794	85838503	H1F0	H1 histone family member 0
ILMN_1666453	1.00e-07	1.15e-09	7.316582	11.91093	0.8546321	372622368	STK3	serine/threonine kinase 3
ILMN_2307450	1.01e-07	1.17e-09	-7.313369	11.880299	-0.663021	574584520	ZNF302	zinc finger protein 302
ILMN_2326512	1.01e-07	1.18e-09	7.311543	11.868341	0.7372916	380254454	CASP1	caspase 1
ILMN_1728605	1.01e-07	1.19e-09	-7.30856	11.857323	-0.758703	49640008	TTC3	tetratricopeptide repeat domain 3
ILMN_1779252	1.03e-07	1.23e-09	7.300539	11.828457	0.898961	313760627	TRIM22	tripartite motif containing 22
ILMN_2368773	9.61e-08	1.08e-09	-7.333606	11.809032	-1.0882769	91807124	FAM3C	family with sequence similarity 3 member C
ILMN_1726591	1.06e-07	1.27e-09	7.291337	11.803172	1.242413	62953111	CARD16	caspase recruitment domain family member 16
ILMN_1660193	1.10e-07	1.32e-09	-7.281641	11.791252	-0.761314	224549027	ZNF529	zinc finger protein 529
ILMN_1721081	1.12e-07	1.35e-09	-7.275074	11.77128	-0.8481609	1030311309	SP4	Sp4 transcription factor
ILMN_1750294	1.03e-07	1.21e-09	-7.303797	11.758247	-1.3668612	354983502	ADAM7	ADAM metallopeptidase domain 7
ILMN_1700994	1.14e-07	1.41e-09	7.26349	11.740566	1.0527082	227116324	KREMEN1	kringle containing transmembrane protein 1
ILMN_1693145	1.12e-07	1.35e-09	-7.274199	11.731731	-0.6179007	211971045	BUB3	BUB3, mitotic checkpoint protein
ILMN_2258816	1.13e-07	1.38e-09	-7.2683	11.712719	-0.9861089	384871686	SAMD3	sterile alpha motif domain containing 3
ILMN_1797813	1.13e-07	1.39e-09	-7.267128	11.704333	-0.4587494	1007388691	SUZ12	SUZ12 polycomb repressive complex 2 subunit
ILMN_1781479	1.18e-07	1.48e-09	-7.250277	11.691672	-0.5732959	531990831	SUV39H1	suppressor of variegation 3-9 homolog 1
ILMN_1668498	1.18e-07	1.50e-09	-7.246898	11.66845	-0.5117565	169234948	CWF19L2	CWF19-like 2, cell cycle control (S. pombe)
ILMN_1725471	1.17e-07	1.46e-09	7.25435	11.663538	1.3326741	326381120	GK	glycerol kinase
ILMN_1812070	1.19e-07	1.53e-09	-7.242048	11.657949	-0.9232393	318037598	ABCB1	ATP binding cassette subfamily B member 1
ILMN_1691106	1.12e-07	1.36e-09	7.272702	11.635803	0.8718136	NA		
ILMN_2326509	1.18e-07	1.49e-09	7.247956	11.6312	0.7018515	380254454	CASP1	caspase 1
ILMN_1707088	1.18e-07	1.50e-09	-7.247071	11.631	-0.7633785	426214079	DENND2D	DENN domain containing 2D
ILMN_1751143	1.19e-07	1.53e-09	-7.241069	11.609011	-0.6650415	1043523366	TMEM243	transmembrane protein 243
ILMN_2415235	1.23e-07	1.60e-09	-7.230231	11.583255	-0.5555213	40549400	CSNK1E	casein kinase 1 epsilon
ILMN_1685567	1.24e-07	1.62e-09	-7.225991	11.578074	-0.5292682	752293515	TGDS	TDP-glucose 4,6-dehydratase
ILMN_2399310	1.26e-07	1.68e-09	-7.217332	11.55789	-0.5037934	307548830	MLLT10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10
ILMN_1674160	1.24e-07	1.65e-09	-7.221812	11.540246	-0.8977499	346716178	BIN1	bridging integrator 1
ILMN_1738955	1.28e-07	1.72e-09	-7.210912	11.510941	-0.4934226	335892799	ANAPC16	anaphase promoting complex subunit 16
ILMN_1886655	1.27e-07	1.70e-09	-7.213608	11.50742	-0.9999598	NA		
ILMN_1683178	1.28e-07	1.74e-09	7.207775	11.503333	0.7088982	223671934	JAK2	Janus kinase 2
ILMN_1696407	1.28e-07	1.74e-09	-7.207429	11.484745	-0.5473703	306482644	SRSF2	serine and arginine rich splicing factor 2
ILMN_2382906	1.19e-07	1.52e-09	-7.243767	11.468493	-1.2312622	33598945	PLCG1	phospholipase C gamma 1
ILMN_2223772	1.24e-07	1.64e-09	7.222819	11.455845	1.4605377	563580295	GP6	glycoprotein VI platelet
ILMN_1669484	1.32e-07	1.80e-09	-7.198319	11.451151	-0.6722093	1001624598	WDR6	WD repeat domain 6
ILMN_1720270	1.36e-07	1.86e-09	-7.189394	11.448213	-0.6521696	55770831	CDR2	cerebellar degeneration related protein 2
ILMN_1664863	1.41e-07	1.96e-09	7.176485	11.41991	0.8456605	306966128	CTRL	chymotrypsin like
ILMN_1698463	1.39e-07	1.92e-09	-7.181485	11.409577	-0.5808607	212549549	ILF3	interleukin enhancer binding factor 3
ILMN_1753575	1.47e-07	2.05e-09	7.163925	11.378354	0.8186783	747165401	GP1BA	glycoprotein Ib platelet alpha subunit
ILMN_1746784	1.48e-07	2.08e-09	-7.15976	11.363038	-0.7527201	338968857	SLAIN1	SLAIN motif family member 1
ILMN_1718297	1.44e-07	2.00e-09	-7.170747	11.352773	-0.5096894	748983417	EML4	echinoderm microtubule associated protein like 4
ILMN_2385278	1.24e-07	1.62e-09	-7.226065	11.34047	-1.240021	254553445	DCAF4	DDB1 and CUL4 associated factor 4
ILMN_1659444	1.50e-07	2.13e-09	7.154273	11.336669	1.2253861	189339259	KIF1B	kinesin family member 1B
ILMN_1732071	1.48e-07	2.09e-09	7.158886	11.307407	1.0327075	22027639	HIST2H2BE	histone cluster 2, H2be
ILMN_1771599	1.52e-07	2.17e-09	7.149281	11.277821	1.6342655	62739165	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
ILMN_1695435	1.60e-07	2.33e-09	7.129696	11.254458	1.4422369	NA		
ILMN_1703697	1.60e-07	2.33e-09	-7.129865	11.223303	-0.7427142	212276218	LANCL1	LanC like 1
ILMN_1688152	1.60e-07	2.31e-09	-7.132026	11.21286	-0.6262968	393538534	IL27RA	interleukin 27 receptor subunit alpha
ILMN_1655622	1.60e-07	2.31e-09	-7.132469	11.207954	-0.5331523	754502043	THAP12	THAP domain containing 12
ILMN_1676448	1.60e-07	2.33e-09	7.129971	11.199751	0.6377372	751868087	WDFY1	WD repeat and FYVE domain containing 1
ILMN_1686388	1.71e-07	2.50e-09	7.111079	11.150102	0.5822878	NA		
ILMN_1776483	1.77e-07	2.65e-09	7.095487	11.127641	1.1071833	NA		
ILMN_1844464	1.73e-07	2.55e-09	-7.106327	11.110672	-0.8762147	36748		
ILMN_1652594	1.79e-07	2.72e-09	-7.08866	11.103939	-0.6567683	151301040	ACTR5	ARP5 actin-related protein 5 homolog
